date,curlingtracks,total
2024-11-29,Street Curlingbaan 1,200.0
2024-11-29,Street Curlingbaan 2,80.0
2024-12-02,Street Curlingbaan 1,200.0
2024-12-02,Street Curlingbaan 2,80.0
2024-12-03,Street Curlingbaan 1,80.0
2024-12-05,Street Curlingbaan 2,40.0
2024-12-06,Street Curlingbaan 1,40.0
2024-12-10,Street Curlingbaan 1,80.0
2024-12-10,Street Curlingbaan 2,40.0
2024-12-11,Street Curlingbaan 1,80.0
2024-12-12,Street Curlingbaan 1,120.0
2024-12-12,Street Curlingbaan 2,40.0
2024-12-13,Street Curlingbaan 1,40.0
2024-12-13,Street Curlingbaan 2,40.0
2024-12-16,Street Curlingbaan 2,40.0
2024-12-18,Street Curlingbaan 1,160.0
2024-12-18,Street Curlingbaan 2,80.0
2024-12-19,Street Curlingbaan 1,160.0
2024-12-19,Street Curlingbaan 2,40.0
2024-12-20,Street Curlingbaan 1,120.0
2024-12-20,Street Curlingbaan 2,80.0
2024-12-23,Street Curlingbaan 1,120.0
2024-12-23,Street Curlingbaan 2,80.0
2024-12-24,Street Curlingbaan 1,120.0
2024-12-24,Street Curlingbaan 2,80.0
2024-12-25,Street Curlingbaan 1,120.0
2024-12-25,Street Curlingbaan 2,160.0
2024-12-26,Street Curlingbaan 1,160.0
2024-12-26,Street Curlingbaan 2,120.0
2024-12-27,Street Curlingbaan 1,320.0
2024-12-27,Street Curlingbaan 2,120.0
2024-12-30,Street Curlingbaan 1,160.0
2024-12-30,Street Curlingbaan 2,80.0
