date,curlingtracks,final_forecast
2025-11-03,Street Curlingbaan 1,50.39342175440861
2025-11-03,Street Curlingbaan 2,45.782336715748166
2025-11-04,Street Curlingbaan 1,50.39409058343808
2025-11-04,Street Curlingbaan 2,45.783101782648544
2025-11-05,Street Curlingbaan 1,50.394656805206225
2025-11-05,Street Curlingbaan 2,45.78281049852176
2025-11-06,Street Curlingbaan 1,50.39452206327398
2025-11-06,Street Curlingbaan 2,45.78277297774222
2025-11-07,Street Curlingbaan 1,50.39448926414812
2025-11-07,Street Curlingbaan 2,45.78275208754856
2025-11-10,Street Curlingbaan 1,50.39456946364594
2025-11-10,Street Curlingbaan 2,45.78267075500017
2025-11-11,Street Curlingbaan 1,50.395051810719956
2025-11-11,Street Curlingbaan 2,45.78332456145418
2025-11-12,Street Curlingbaan 1,50.3950994301697
2025-11-12,Street Curlingbaan 2,45.78326095427628
2025-11-13,Street Curlingbaan 1,50.394986908892704
2025-11-13,Street Curlingbaan 2,45.78321727429507
2025-11-14,Street Curlingbaan 1,50.39502320657911
2025-11-14,Street Curlingbaan 2,45.783327201960354
2025-11-17,Street Curlingbaan 1,50.39478741937229
2025-11-17,Street Curlingbaan 2,45.7828766673869
2025-11-18,Street Curlingbaan 1,50.39518412601657
2025-11-18,Street Curlingbaan 2,45.78334602374505
2025-11-19,Street Curlingbaan 1,50.39521707675361
2025-11-19,Street Curlingbaan 2,45.783337134451536
2025-11-20,Street Curlingbaan 1,50.39510859403814
2025-11-20,Street Curlingbaan 2,45.78330161569087
2025-11-21,Street Curlingbaan 1,50.39498355735724
2025-11-21,Street Curlingbaan 2,45.78338902214049
2025-11-24,Street Curlingbaan 1,50.393780420123186
2025-11-24,Street Curlingbaan 2,45.78016029859113
2025-11-25,Street Curlingbaan 1,50.395311937143994
2025-11-25,Street Curlingbaan 2,45.78028817113832
2025-11-26,Street Curlingbaan 1,50.39494281987557
2025-11-26,Street Curlingbaan 2,45.77984860053888
2025-11-27,Street Curlingbaan 1,50.39545344517474
2025-11-27,Street Curlingbaan 2,45.77960186818268
2025-11-28,Street Curlingbaan 1,50.396562854476066
2025-11-28,Street Curlingbaan 2,45.77954779179631
2025-12-01,Street Curlingbaan 1,50.39595465734017
2025-12-01,Street Curlingbaan 2,45.782350790462736
2025-12-02,Street Curlingbaan 1,50.396654939169494
2025-12-02,Street Curlingbaan 2,45.78313248550967
2025-12-03,Street Curlingbaan 1,50.39532343887412
2025-12-03,Street Curlingbaan 2,45.78251355796874
2025-12-04,Street Curlingbaan 1,50.395170021840464
2025-12-04,Street Curlingbaan 2,45.782471797063245
2025-12-05,Street Curlingbaan 1,50.39575541262793
2025-12-05,Street Curlingbaan 2,45.78226094757889
2025-12-08,Street Curlingbaan 1,50.39550781391385
2025-12-08,Street Curlingbaan 2,45.78169858071292
2025-12-09,Street Curlingbaan 1,50.395911053957406
2025-12-09,Street Curlingbaan 2,45.78229839305522
2025-12-10,Street Curlingbaan 1,50.3957530833979
2025-12-10,Street Curlingbaan 2,45.78209050882807
2025-12-11,Street Curlingbaan 1,50.39569267286846
2025-12-11,Street Curlingbaan 2,45.78209169170092
2025-12-12,Street Curlingbaan 1,50.39582784990987
2025-12-12,Street Curlingbaan 2,45.78211947695391
2025-12-15,Street Curlingbaan 1,50.39568934897992
2025-12-15,Street Curlingbaan 2,45.78218486800771
2025-12-16,Street Curlingbaan 1,50.39610099400625
2025-12-16,Street Curlingbaan 2,45.782344250465485
2025-12-17,Street Curlingbaan 1,50.395911621823245
2025-12-17,Street Curlingbaan 2,45.782213581425786
2025-12-18,Street Curlingbaan 1,50.39574510856862
2025-12-18,Street Curlingbaan 2,45.781900135221036
2025-12-19,Street Curlingbaan 1,50.39577409315335
2025-12-19,Street Curlingbaan 2,45.781998474316715
2025-12-22,Street Curlingbaan 1,50.39577305253385
2025-12-22,Street Curlingbaan 2,45.78283668690564
2025-12-23,Street Curlingbaan 1,50.395831123410495
2025-12-23,Street Curlingbaan 2,45.78264162564507
2025-12-24,Street Curlingbaan 1,50.39582109839625
2025-12-24,Street Curlingbaan 2,45.7821304029798
2025-12-25,Street Curlingbaan 1,50.39649945833654
2025-12-25,Street Curlingbaan 2,45.78218671381806
2025-12-26,Street Curlingbaan 1,50.39598835906333
2025-12-26,Street Curlingbaan 2,45.78209208527927
2025-12-29,Street Curlingbaan 1,50.39428947697948
2025-12-29,Street Curlingbaan 2,45.780829858485845
2025-12-30,Street Curlingbaan 1,50.39618114416532
2025-12-30,Street Curlingbaan 2,45.78293727177871
2025-12-31,Street Curlingbaan 1,50.39560063586988
2025-12-31,Street Curlingbaan 2,45.7821158164179
